Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
417;Blake Wesley;SG;19;SAS;2;0;11.5;3;4.5;0.667;1;1.5;0.667;2;3;0.667;0.778;1;2;0.5;0.5;0.5;1;2;0;0;1;1.5;8
418;Russell Westbrook;PG;34;LAL;5;3;30;4.6;13.4;0.343;0.8;4;0.2;3.8;9.4;0.404;0.373;3.4;4.8;0.708;1.2;6;7.2;4.8;1.4;0.2;2.6;2.4;13.4
419;Coby White;PG;22;CHI;7;0;21.9;3;7.9;0.382;1.4;4.9;0.294;1.6;3;0.524;0.473;0.7;1.3;0.556;0.1;1.6;1.7;1.7;0.7;0;0.9;2;8.1
420;Derrick White;SG;28;BOS;6;6;26.2;3.3;7.3;0.455;1.7;3.8;0.435;1.7;3.5;0.476;0.568;1.3;1.7;0.8;0.7;2.8;3.5;2.7;0.7;0.5;0.8;3.2;9.7
421;Jack White;SF;25;DEN;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0.5;0;0.5;0;0;0;0
422;Aaron Wiggins;SG;24;OKC;6;3;24.2;2.3;5.8;0.4;0.8;2.5;0.333;1.5;3.3;0.45;0.471;1.2;1.5;0.778;1;4.3;5.3;1.5;0.7;0.3;0.7;1.2;6.7
423;Andrew Wiggins;SF;27;GSW;8;8;33.4;6.8;14.6;0.462;2.4;6.1;0.388;4.4;8.5;0.515;0.543;1.9;2.4;0.789;1.9;4.1;6;2.9;1.4;1.1;0.6;3;17.8
424;Grant Williams;PF;24;BOS;5;0;24.6;3.2;4.6;0.696;2;3;0.667;1.2;1.6;0.75;0.913;1.2;1.4;0.857;0.4;3.6;4;1.8;0.2;1;0.4;2.6;9.6
425;Jalen Williams;SG;21;OKC;3;1;18;3.3;5.7;0.588;0.3;1.3;0.25;3;4.3;0.692;0.618;1;1;1;0;1.3;1.3;1.3;2;0.3;2.3;2.3;8
426;Jaylin Williams;PF;20;OKC;1;0;8;2;4;0.5;0;0;0;2;4;0.5;0.5;0;1;0;3;3;6;2;0;0;0;2;4
427;Kenrich Williams;PF;28;OKC;6;2;20.8;2.8;5.8;0.486;0.7;2;0.333;2.2;3.8;0.565;0.543;0.2;0.5;0.333;1.8;2.3;4.2;1.7;0.5;0.3;0.5;1.8;6.5
428;Mark Williams;C;21;CHO;3;0;4.3;1.3;2.3;0.571;0;0;0;1.3;2.3;0.571;0.571;1;1;1;1.3;1.3;2.7;0;0;0;0.7;1;3.7
429;Patrick Williams;PF;21;CHI;8;8;22.6;2.9;6.5;0.442;0.8;2.5;0.3;2.1;4;0.531;0.5;1.3;1.4;0.909;0.8;1.9;2.6;0.5;1.1;0.6;1.5;1.4;7.8
430;Vince Williams Jr.;SG;22;MEM;2;0;5.5;0.5;2.5;0.2;0;2;0;0.5;0.5;1;0.2;0;0;0;0.5;1;1.5;0.5;0.5;0;0;1;1
431;Zion Williamson;PF;22;NOP;4;4;30.3;9.3;18.5;0.5;0;0;0;9.3;18.5;0.5;0.5;3.3;4.5;0.722;2.5;5.5;8;3.5;1.8;0.5;2.5;1.8;21.8
432;Justise Winslow;SF;26;POR;5;0;24.8;2.8;7.2;0.389;0.6;1.8;0.333;2.2;5.4;0.407;0.431;1.4;2;0.7;1.6;2.8;4.4;2.8;1.8;0.8;1.2;2.2;7.6
433;James Wiseman;C;21;GSW;8;0;14;3.4;5.5;0.614;0;0;0;3.4;5.5;0.614;0.614;1.5;2.4;0.632;1;2.9;3.9;0.8;0;0.5;0.8;2.5;8.3
434;Christian Wood;PF;27;DAL;6;0;25.8;5.5;9.7;0.569;1.7;3;0.556;3.8;6.7;0.575;0.655;4;6.2;0.649;1.5;6.7;8.2;0.8;0.2;0.7;2.3;3.2;16.7
435;Delon Wright;PG;30;WAS;4;0;22.8;2.5;6;0.417;0.8;3;0.25;1.8;3;0.583;0.479;0.8;1.3;0.6;1;1.5;2.5;3.3;2.8;1;1;1.3;6.5
436;McKinley Wright IV;PG;24;DAL;1;0;5;1;4;0.25;0;1;0;1;3;0.333;0.25;0;0;0;1;1;2;2;1;0;0;0;2
437;Thaddeus Young;PF;34;TOR;4;0;8;0.8;2;0.375;0.3;1.3;0.2;0.5;0.8;0.667;0.438;0;0;0;0.3;1;1.3;0.3;0.8;0;0.3;1;1.8
438;Trae Young;PG;24;ATL;7;7;35;8.9;22.4;0.395;2.6;8;0.321;6.3;14.4;0.436;0.452;8.7;9.4;0.924;0.9;2.4;3.3;9.7;0.4;0.1;3.4;1.7;29
439;Ivica Zubac;C;25;LAC;7;7;29.3;4;6.6;0.609;0;0.1;0;4;6.4;0.622;0.609;1.7;2.9;0.6;2.9;9;11.9;1.3;0.1;2.9;2.1;2.6;9.7
